ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Prob
ALL_BATCH_6.47.2_ORF_2	2694	+	1	64	222	159	0.4243	0.72693898680329	1.80075362310595e-05
ALL_BATCH_6.47.2_ORF_3	2694	-	1	828	673	156	0.6032	0.926757623833687	3.0712801716582e-05
ALL_BATCH_6.47.2_ORF_4	2694	-	1	1236	1093	144	0.7866	0.00615540329968824	3.05664374667326e-06
ALL_BATCH_6.47.2_ORF_5	2694	-	3	928	797	132	0.7865	0.918084522840685	1.73349089408211e-05
ALL_BATCH_6.52.1_ORF_1	2898	+	1	2152	2733	582	0.9416	1.05038392708696	0.869649332649215
ALL_BATCH_6.52.1_ORF_2	2898	-	1	2640	2533	108	1.0534	0.0351606981891512	4.70643426795591e-07
ALL_BATCH_6.52.1_ORF_3	2898	+	2	1517	1621	105	0.8784	0.525822973029964	1.13064793777738e-06
ALL_BATCH_6.52.1_ORF_4	2898	+	2	2627	2728	102	1.1512	0.249623477369835	7.04062529662173e-07
ALL_BATCH_6.52.1_ORF_5	2898	+	3	240	341	102	0.6195	0.802048946917227	1.53590669320708e-06
ALL_BATCH_6.54.1_ORF_1	848	+	2	503	634	132	0.6784	0.744837412021243	0.184255384522912
ALL_BATCH_6.54.1_ORF_2	848	-	3	540	430	111	0.49	0.539939852485593	0.059359694450402
ALL_BATCH_6.64.1_ORF_1	2137	+	2	1178	2137	960	0.9666	1.36541146055921	0.999999986348117
ALL_BATCH_6.64.1_ORF_2	2137	+	2	656	895	240	1.0264	1.32289542510091	0.0276915927739843
ALL_BATCH_6.64.1_ORF_3	2137	+	3	1212	1385	174	0.9614	-0.00598236341335661	0.000174231870626202
ALL_BATCH_6.64.1_ORF_4	2137	+	3	1851	2000	150	1.0098	-0.392268630533597	3.64679428125863e-05
ALL_BATCH_6.64.1_ORF_5	2137	-	3	1190	1041	150	0.5874	1.20387574412258	0.000967776182833626
ALL_BATCH_6.66.2_ORF_1	1337	+	2	101	1195	1095	0.9902	1.21461923241152	0.999999999995651
ALL_BATCH_6.66.2_ORF_2	1337	+	3	642	800	159	0.9902	0.121549948599699	0.011385496333403
ALL_BATCH_6.66.2_ORF_3	1337	-	1	683	603	81	0.7169	-0.00403207022120946	0.000644091946685007
ALL_BATCH_6.75.1_ORF_1	925	+	1	550	663	114	0.6987	1.03671047100663	0.147434018910331
ALL_BATCH_6.75.1_ORF_2	925	-	3	590	483	108	0.8263	0.857801214626512	0.0971968422513532
ALL_BATCH_6.75.1_ORF_3	925	+	3	393	494	102	0.8008	0.359770234785401	0.0271960610242901
ALL_BATCH_6.75.1_ORF_4	925	+	3	660	758	99	0.7958	0.701268279225203	0.0528030419278505
ALL_BATCH_6.79.1_ORF_1	2265	-	3	1804	605	1200	1.0404	1.36811813102335	0.999999999981263
ALL_BATCH_6.79.1_ORF_2	2265	+	3	942	1289	348	1.035	1.19408975514831	0.215113771148821
ALL_BATCH_6.79.1_ORF_3	2265	-	1	2043	1927	117	0.9614	0.465822767251094	4.6590013281197e-05
ALL_BATCH_6.79.1_ORF_4	2265	+	1	1606	1701	96	1.017	0.334673777079908	1.9306719924701e-05
ALL_BATCH_6.79.1_ORF_5	2265	+	3	435	521	87	0.761	1.09232477621928	6.63988616284562e-05
ALL_BATCH_6.80.1_ORF_1	2298	+	3	858	2102	1245	1.0602	1.37754738724835	0.99999999999443
ALL_BATCH_6.80.1_ORF_2	2298	-	3	1765	1568	198	0.8997	1.23631100964316	0.00245914445928379
ALL_BATCH_6.80.1_ORF_3	2298	+	1	469	618	150	1.1286	1.16037140678601	0.000604260456508733
ALL_BATCH_6.80.1_ORF_4	2298	+	1	1564	1710	147	0.9978	0.245578695524594	5.98279526732553e-05
ALL_BATCH_6.80.1_ORF_5	2298	+	1	619	735	117	0.9614	0.465822767251094	3.89826417321811e-05
ALL_BATCH_6.82.1_ORF_1	3485	+	2	413	1867	1455	0.9678	1.16958977213841	0.999999999989135
ALL_BATCH_6.82.1_ORF_2	3485	-	2	1045	872	174	1.0783	-0.403229188061922	5.354919289451e-08
ALL_BATCH_6.82.1_ORF_3	3485	+	1	97	210	114	0.5992	0.311027332490747	2.93381458958864e-08
ALL_BATCH_6.82.1_ORF_4	3485	+	1	2311	2418	108	0.7935	0.423500153814805	3.7944179711554e-08
ALL_BATCH_6.82.1_ORF_5	3485	+	3	1749	1856	108	0.9632	-0.0897080848095439	1.3638071948106e-08
ALL_BATCH_6.84.1_ORF_1	1581	+	3	993	1292	300	0.7917	1.10359782759418	0.628806913688801
ALL_BATCH_6.84.1_ORF_2	1581	-	1	165	1	165	0.8056	0.964274521630286	0.0211435029296594
ALL_BATCH_6.84.1_ORF_3	1581	+	3	138	245	108	0.5684	0.675178065590394	0.00160994600603874
ALL_BATCH_6.84.1_ORF_4	1581	-	1	1185	1081	105	0.8307	0.873308215096542	0.00294964394891107
ALL_BATCH_6.84.1_ORF_5	1581	-	3	97	5	93	0.9288	-0.017915904915425	0.000291103503558564
ALL_BATCH_6.85.1_ORF_1	2593	-	1	1060	425	636	0.8853	1.07495647899648	0.99435936139358
ALL_BATCH_6.85.1_ORF_2	2593	-	2	2535	2269	267	0.7441	1.05459140996064	0.00226548249572471
ALL_BATCH_6.85.1_ORF_3	2593	-	1	1603	1466	138	0.8657	0.967228180691617	4.31391464044979e-05
ALL_BATCH_6.85.1_ORF_4	2593	+	1	505	609	105	0.8452	0.195258862215838	2.66492872677446e-06
ALL_BATCH_6.85.1_ORF_5	2593	+	3	2343	2447	105	0.8307	0.873308215096542	1.24935064553181e-05
ALL_BATCH_6.91.1_ORF_1	1457	+	1	721	915	195	0.4762	0.0994860805857146	0.0104045949225923
ALL_BATCH_6.91.1_ORF_2	1457	-	3	798	646	153	0.4755	-0.102747385608818	0.00186622104637647
ALL_BATCH_6.91.1_ORF_3	1457	+	2	551	685	135	0.7283	-0.0709346200360138	0.00147639212960816
ALL_BATCH_6.91.1_ORF_4	1457	-	1	641	546	96	0.5534	0.415028229961059	0.00119048466480054
ALL_BATCH_6.91.1_ORF_5	1457	-	3	201	121	81	0.8559	0.291223962689334	0.000754503966578927
ALL_BATCH_6.91.2_ORF_1	1452	+	1	721	888	168	0.6354	0.189609470786051	0.00679170548183073
ALL_BATCH_6.91.2_ORF_2	1452	-	1	798	646	153	0.4755	-0.102747385608818	0.00191721992380616
ALL_BATCH_6.91.2_ORF_3	1452	+	2	551	685	135	0.7283	-0.0709346200360138	0.00151675420361085
ALL_BATCH_6.91.2_ORF_4	1452	-	2	641	546	96	0.5534	0.415028229961059	0.0012230400839905
ALL_BATCH_6.91.2_ORF_5	1452	-	1	201	121	81	0.8559	0.291223962689334	0.000775146154434054
ALL_BATCH_6.98.2_ORF_1	664	+	3	228	305	78	0.8532	0.534363786716409	0.0802904136925427
ALL_BATCH_6.100.1_ORF_1	2962	+	2	1544	2626	1083	0.982	1.13674129216569	0.999999951193023
ALL_BATCH_6.100.1_ORF_2	2962	-	2	795	628	168	0.8332	0.153958206020914	2.16614905144518e-06
ALL_BATCH_6.100.1_ORF_3	2962	+	3	1272	1403	132	0.7808	0.873569912974591	3.65957976028514e-06
ALL_BATCH_6.100.1_ORF_4	2962	+	3	2208	2339	132	0.986	0.170086668521504	8.77634162454516e-07
ALL_BATCH_6.100.1_ORF_5	2962	+	3	1551	1661	111	1.195	-0.0623100950290289	3.31901293139001e-07
ALL_BATCH_6.100.2_ORF_1	3284	+	3	2046	2948	903	0.9758	1.10764876674658	0.999933413446372
ALL_BATCH_6.100.2_ORF_2	3284	+	2	1544	1720	177	1.0206	1.27184195986746	7.7336209307466e-06
ALL_BATCH_6.100.2_ORF_3	3284	-	3	795	628	168	0.8332	0.153958206020914	3.80373332592213e-07
ALL_BATCH_6.100.2_ORF_4	3284	+	2	1835	1969	135	1.0218	0.249708061730768	2.09295714455261e-07
ALL_BATCH_6.100.2_ORF_5	3284	+	1	2530	2661	132	0.986	0.170086668521504	1.54111406293109e-07
ALL_BATCH_6.102.1_ORF_1	1390	+	3	372	1301	930	1.0208	1.42892723568893	0.999999999511549
ALL_BATCH_6.102.1_ORF_2	1390	-	1	1267	1139	129	1.134	1.20873530772493	0.0465225031308384
ALL_BATCH_6.102.1_ORF_3	1390	+	1	514	627	114	1.168	0.413939499841596	0.00513711025887139
ALL_BATCH_6.110.1_ORF_1	861	-	3	691	599	93	0.8247	0.565543134051525	0.0471228450574736
ALL_BATCH_6.112.1_ORF_1	530	+	2	224	310	87	0.9106	1.24936699219476	0.562671575395164
ALL_BATCH_6.112.2_ORF_1	483	+	3	177	263	87	0.9106	1.24936699219476	0.623849969925891
ALL_BATCH_6.112.3_ORF_1	588	+	2	224	310	87	0.9106	1.24936699219476	0.484673726810482
ALL_BATCH_6.112.4_ORF_1	592	+	1	355	447	93	0.6735	0.928147434526036	0.297475145494992
ALL_BATCH_6.112.4_ORF_2	592	+	2	224	310	87	0.9106	1.24936699219476	0.479278455451553
ALL_BATCH_6.117.3_ORF_1	1374	+	1	199	1218	1020	0.9614	1.19753627245801	0.999999999946044
ALL_BATCH_6.117.3_ORF_2	1374	+	2	71	235	165	0.8832	0.516616494830755	0.0247425238870465
ALL_BATCH_6.117.3_ORF_3	1374	+	2	692	841	150	0.9834	0.857737217085414	0.0373839554264364
ALL_BATCH_6.117.3_ORF_4	1374	-	1	1074	967	108	0.8077	-0.00557350660502104	0.001284775457732
ALL_BATCH_6.117.3_ORF_5	1374	+	2	1010	1105	96	1.1158	0.438293387626835	0.00329382153419252
ALL_BATCH_6.118.1_ORF_1	670	-	2	567	205	363	0.955	0.978281260636047	0.999256364873468
ALL_BATCH_6.118.1_ORF_2	670	+	1	349	456	108	0.8077	-0.00557350660502104	0.0545452462790259
ALL_BATCH_6.118.1_ORF_3	670	-	3	413	318	96	1.1158	0.438293387626835	0.129075552167409
ALL_BATCH_6.123.1_ORF_1	5046	+	1	1	2568	2568	1.0264	1.24841935157406	1
ALL_BATCH_6.123.1_ORF_2	5046	+	1	2989	3831	843	0.9666	1.3952650738179	0.258932221369276
ALL_BATCH_6.123.1_ORF_3	5046	-	2	3785	3576	210	1.0119	0.988609574862847	7.91828498404205e-10
ALL_BATCH_6.123.1_ORF_4	5046	+	2	1319	1480	162	0.9614	0.608965598026337	7.47087524346486e-11
ALL_BATCH_6.123.1_ORF_5	5046	+	2	3701	3850	150	0.9666	-0.125961685292173	9.66821993701985e-12
ALL_BATCH_6.124.1_ORF_1	6104	-	1	3863	1872	1992	1.0066	1.28001684434872	0.999999999998877
ALL_BATCH_6.124.1_ORF_2	6104	-	2	6031	4796	1236	0.7437	1.10376548399516	0.984652765513221
ALL_BATCH_6.124.1_ORF_3	6104	-	1	1463	468	996	0.9666	1.39591605480944	0.102446126260089
ALL_BATCH_6.124.1_ORF_4	6104	-	2	4486	4268	219	1.0602	0.873918816740991	2.74522252479849e-12
ALL_BATCH_6.124.1_ORF_5	6104	+	1	517	726	210	1.0119	0.988609574862847	2.60821157966424e-12
ALL_BATCH_6.124.2_ORF_1	6157	-	1	3916	1925	1992	1.0066	1.28001684434872	0.999999999998505
ALL_BATCH_6.124.2_ORF_2	6157	-	2	6084	4849	1236	0.7437	1.10376548399516	0.979668234761476
ALL_BATCH_6.124.2_ORF_3	6157	-	1	1516	524	993	0.9666	1.40139840016714	0.0734975013264987
ALL_BATCH_6.124.2_ORF_4	6157	-	2	4539	4321	219	1.0602	0.873918816740991	2.0617144621194e-12
ALL_BATCH_6.124.2_ORF_5	6157	+	3	570	779	210	1.0119	0.988609574862847	1.95881662979418e-12
ALL_BATCH_6.130.1_ORF_1	876	-	1	738	604	135	0.4849	0.577621392398487	0.107988003031132
ALL_BATCH_6.130.1_ORF_2	876	+	3	507	632	126	0.7995	0.428412631657374	0.080543481859076
ALL_BATCH_6.130.1_ORF_3	876	+	1	334	435	102	0.4991	0.715915902597983	0.0588731932571761
ALL_BATCH_6.130.1_ORF_4	876	+	1	103	189	87	0.7495	0.67554416566349	0.0437550594677159
ALL_BATCH_6.131.1_ORF_1	1456	+	2	1007	1150	144	0.5171	0.869743375106478	0.0137421460392336
ALL_BATCH_6.131.1_ORF_2	1456	-	1	523	389	135	0.7211	0.269594362740947	0.0032196754382997
ALL_BATCH_6.131.1_ORF_3	1456	-	1	709	596	114	0.5571	0.307972270067268	0.00161176280344679
ALL_BATCH_6.131.1_ORF_4	1456	+	3	816	914	99	0.8996	0.0898212926116102	0.00085350093427393
ALL_BATCH_6.131.1_ORF_5	1456	+	3	477	566	90	0.4947	0.111289357393853	0.000471476928691453
ALL_BATCH_6.134.1_ORF_1	1463	-	3	519	349	171	0.7753	0.70449896946729	0.0255229128149936
ALL_BATCH_6.134.1_ORF_2	1463	-	3	1392	1252	141	0.7744	0.206525887154828	0.00337249748145951
ALL_BATCH_6.134.1_ORF_3	1463	+	1	535	621	87	0.9365	0.98677426195465	0.00464155508860061
ALL_BATCH_6.134.1_ORF_4	1463	+	2	842	922	81	0.9763	0.571894032731176	0.00155433584613294
ALL_BATCH_6.134.1_ORF_5	1463	+	1	1372	1449	78	0.6807	0.806427885261667	0.0018542072094305
ALL_BATCH_6.135.1_ORF_1	1012	+	2	653	742	90	0.9905	0.680439505003106	0.0294312444515185
ALL_BATCH_6.135.1_ORF_2	1012	-	1	637	551	87	0.9365	0.98677426195465	0.0506135661658607
ALL_BATCH_6.135.1_ORF_3	1012	-	2	330	250	81	0.9763	0.571894032731176	0.0174863407503742
ALL_BATCH_6.148.4_ORF_1	881	+	1	295	453	159	1.1666	1.47704836694094	0.782001210162177
ALL_BATCH_6.148.5_ORF_1	852	+	2	11	640	630	0.9982	1.12532553271201	0.999999551389452
ALL_BATCH_6.148.5_ORF_2	852	+	3	162	287	126	1.1438	0.211150079482591	0.076732104967642
ALL_BATCH_6.148.5_ORF_3	852	-	2	410	312	99	0.584	0.415664686194311	0.0340909793096162
ALL_BATCH_6.148.5_ORF_4	852	+	3	63	158	96	0.8173	0.685485421783642	0.0691933331219724
ALL_BATCH_6.148.5_ORF_5	852	+	3	510	596	87	0.9548	0.324395983213312	0.0273117767827305
ALL_BATCH_6.149.1_ORF_1	2067	+	1	946	1074	129	0.7446	0.63231195244597	0.000233756009652783
ALL_BATCH_6.149.1_ORF_2	2067	+	2	1049	1168	120	0.7185	1.06008708616506	0.00046538778214893
ALL_BATCH_6.149.1_ORF_3	2067	+	1	301	408	108	0.8258	0.341058499873301	6.86542014980424e-05
ALL_BATCH_6.149.1_ORF_4	2067	+	2	1406	1486	81	0.3505	0.734075434840708	4.86050584823242e-05
ALL_BATCH_6.149.1_ORF_5	2067	-	1	1632	1555	78	0.8769	0.527141794040851	4.48263691249341e-05
ALL_BATCH_6.158.1_ORF_1	2014	+	2	134	1081	948	0.869	1.1259441594713	0.999999980892653
ALL_BATCH_6.158.1_ORF_2	2014	+	2	1541	1696	156	0.7082	0.550527170383888	0.000561005741312989
ALL_BATCH_6.158.1_ORF_3	2014	-	3	1532	1410	123	0.5484	0.595999414528812	0.000199593046894949
ALL_BATCH_6.158.1_ORF_4	2014	+	2	1865	1966	102	0.816	0.467244377666554	0.000101104805332027
ALL_BATCH_6.166.1_ORF_1	1874	+	3	654	1718	1065	0.9666	1.14897499220872	0.999999999768501
ALL_BATCH_6.166.1_ORF_2	1874	-	3	267	103	165	0.4868	0.683409133636339	0.00173145857569282
ALL_BATCH_6.166.1_ORF_3	1874	-	3	1371	1237	135	1.1586	-0.162274497538851	0.000187206770047074
ALL_BATCH_6.166.1_ORF_4	1874	-	1	98	3	96	0.6167	0.883117229287627	0.000389267757997029
ALL_BATCH_6.166.1_ORF_5	1874	+	3	1788	1874	87	0.7065	1.0004024433456	0.000422495991699356
ALL_BATCH_6.167.1_ORF_1	955	+	1	1	627	627	0.8634	1.17108913666229	0.999999127238933
ALL_BATCH_6.167.1_ORF_2	955	-	2	267	163	105	1.1774	-0.675778460305874	0.00339413103117899
ALL_BATCH_6.167.1_ORF_3	955	+	2	215	301	87	1.1342	-0.306353460885098	0.00443556084712203
ALL_BATCH_6.167.1_ORF_4	955	-	1	478	401	78	0.8987	0.0482819382271656	0.00614609050415536
ALL_BATCH_6.171.1_ORF_1	5004	+	3	120	2090	1971	0.9978	1.32836957898527	1
ALL_BATCH_6.171.1_ORF_2	5004	+	1	2224	3240	1017	0.9614	1.25978417093092	0.983460278209138
ALL_BATCH_6.171.1_ORF_3	5004	+	3	3903	4865	963	0.9938	1.00552365970156	0.870892612334071
ALL_BATCH_6.171.1_ORF_4	5004	+	2	3005	3202	198	1.0602	0.0798287508986295	8.97121206756494e-11
ALL_BATCH_6.171.1_ORF_5	5004	-	1	2700	2536	165	0.8694	-0.2737499922858	1.23924319159192e-11
ALL_BATCH_6.171.2_ORF_1	5109	+	3	483	2156	1674	0.9978	1.31140534539671	0.99999999993144
ALL_BATCH_6.171.2_ORF_2	5109	+	3	4008	4970	963	0.9938	1.00552365970156	0.792757542183324
ALL_BATCH_6.171.2_ORF_3	5109	+	1	2290	3171	882	0.9666	1.19258663508579	0.3348500295565
ALL_BATCH_6.171.2_ORF_4	5109	+	3	120	398	279	0.9978	1.30000323999825	9.03740335558019e-09
ALL_BATCH_6.171.2_ORF_5	5109	-	1	2766	2602	165	0.8694	-0.2737499922858	7.02756186006155e-12
ALL_BATCH_6.171.3_ORF_1	5002	+	1	415	2088	1674	0.9978	1.31140534539671	0.999999999961538
ALL_BATCH_6.171.3_ORF_2	5002	+	2	2222	3238	1017	0.9614	1.25978417093092	0.983635114009899
ALL_BATCH_6.171.3_ORF_3	5002	+	1	3901	4863	963	0.9938	1.00552365970156	0.872102616390194
ALL_BATCH_6.171.3_ORF_4	5002	+	3	3003	3200	198	1.0602	0.0798287508986295	9.06866876324423e-11
ALL_BATCH_6.171.3_ORF_5	5002	-	1	2698	2534	165	0.8694	-0.2737499922858	1.25270542453163e-11
ALL_BATCH_6.172.1_ORF_1	511	-	1	469	344	126	0.8616	1.23457304989101	0.809520694351379
ALL_BATCH_6.172.1_ORF_2	511	-	3	200	102	99	0.7535	0.0740274771263716	0.106125578800511
ALL_BATCH_6.174.1_ORF_1	380	-	2	232	98	135	0.6514	0.586011147641918	0.67715335826784
ALL_BATCH_6.174.1_ORF_2	380	-	3	129	1	129	0.6411	0.908056490953909	0.784349743858333
ALL_BATCH_6.176.1_ORF_1	1496	-	3	1170	1006	165	0.4412	0.400696129085597	0.00664819196620606
ALL_BATCH_6.176.1_ORF_2	1496	+	2	41	184	144	0.7317	0.910509205289804	0.0147999807897826
ALL_BATCH_6.176.1_ORF_3	1496	+	3	75	197	123	0.7317	0.881139769241058	0.00741757697689871
ALL_BATCH_6.176.1_ORF_4	1496	-	3	90	1	90	0.5781	0.963061210106127	0.00289813073412906
ALL_BATCH_6.176.1_ORF_5	1496	+	1	1123	1206	84	0.7469	0.780958472374034	0.00186229630261482
ALL_BATCH_6.181.1_ORF_1	1130	+	3	390	1130	741	0.9406	0.971913409343399	0.99999989225698
ALL_BATCH_6.181.1_ORF_2	1130	+	1	580	825	246	0.988	-0.455456516008843	0.112964391300293
ALL_BATCH_6.181.1_ORF_3	1130	-	2	586	452	135	1.0569	0.304754485037939	0.0270136506344327
ALL_BATCH_6.181.1_ORF_4	1130	-	3	642	520	123	1.0354	-0.0860277747402523	0.00767255314566037
ALL_BATCH_6.181.1_ORF_5	1130	-	2	1090	983	108	0.8541	0.354232302181626	0.0113399027406354
ALL_BATCH_6.181.2_ORF_1	1492	+	2	827	1492	666	0.9616	0.947947670416359	0.999992491684771
ALL_BATCH_6.181.2_ORF_2	1492	+	3	942	1187	246	0.988	-0.455456516008843	0.0176977586060806
ALL_BATCH_6.181.2_ORF_3	1492	-	2	948	772	177	0.5524	0.66948950662049	0.0197525865678046
ALL_BATCH_6.181.2_ORF_4	1492	-	3	1004	882	123	1.0354	-0.0860277747402523	0.00109265417222924
ALL_BATCH_6.181.2_ORF_5	1492	+	1	766	885	120	0.439	0.382131906514571	0.00168988385114067
ALL_BATCH_6.181.3_ORF_1	3242	+	3	1983	3242	1260	0.8742	1.1584465898432	0.999999998856947
ALL_BATCH_6.181.3_ORF_2	3242	+	2	827	1492	666	0.9616	0.947947670416359	0.912567083593339
ALL_BATCH_6.181.3_ORF_3	3242	+	3	942	1187	246	0.988	-0.455456516008843	1.41191356991371e-06
ALL_BATCH_6.181.3_ORF_4	3242	-	3	948	772	177	0.5524	0.66948950662049	1.57914924251951e-06
ALL_BATCH_6.181.3_ORF_5	3242	+	3	1512	1649	138	0.422	0.746990013506384	5.18690390372049e-07
ALL_BATCH_6.183.2_ORF_1	2354	+	1	436	1119	684	1.1093	1.118036772271	0.999728220848628
ALL_BATCH_6.183.2_ORF_2	2354	+	1	1513	2172	660	0.8269	1.10358052188286	0.999251065949555
ALL_BATCH_6.183.2_ORF_3	2354	-	2	1900	1805	96	1.0092	0.285972651419657	1.05966489304018e-05
ALL_BATCH_6.183.2_ORF_4	2354	-	3	1635	1555	81	0.8652	0.259253455891638	5.56219218158045e-06
ALL_BATCH_6.183.2_ORF_5	2354	+	2	764	841	78	1.2435	-1.27512350110831	2.11769578122924e-07
ALL_BATCH_6.184.1_ORF_1	1888	-	1	1072	365	708	0.9558	1.35267985132187	0.999992836564855
ALL_BATCH_6.184.1_ORF_2	1888	-	2	1824	1699	126	0.8639	1.0836389690039	0.00176663527817647
ALL_BATCH_6.184.1_ORF_3	1888	-	3	1496	1404	93	0.7295	0.756233633552813	0.000273390969199562
ALL_BATCH_6.184.1_ORF_4	1888	+	1	1249	1326	78	0.5684	0.575594769370332	9.91880344460641e-05
ALL_BATCH_6.184.1_ORF_5	1888	+	2	26	103	78	0.9068	0.657841449749567	0.000163633094613477
ALL_BATCH_6.189.1_ORF_1	1449	-	2	881	699	183	0.5484	0.530370420900429	0.021553304819076
ALL_BATCH_6.189.1_ORF_2	1449	-	2	158	24	135	0.4745	0.364242857018665	0.00331162581001308
